fecha_utc,accion,precio,pnl_pct,equity_despues
2026-08-02 22:19 UTC,BUY,4124.8533,,1045.35
2026-08-02 22:24 UTC,BUY,4121.8421,,1045.35
2026-08-02 23:50 UTC,SELL,4129.5000,0.069,1045.90
2026-08-02 23:51 UTC,BUY,4127.7002,,1045.90
2026-08-03 00:00 UTC,SELL,4133.8999,0.069,1045.94
2026-08-03 00:01 UTC,BUY,4134.2998,,1045.94
2026-08-03 00:06 UTC,BUY,4131.2818,,1045.94
2026-08-03 00:10 UTC,BUY,4128.2659,,1045.94
2026-08-03 00:20 UTC,BUY,4125.2523,,1045.94
2026-08-03 00:23 UTC,BUY,4122.2409,,1045.94
2026-08-03 00:26 UTC,BUY,4119.2316,,1045.94
2026-08-03 00:37 UTC,BUY,4116.2246,,1045.94
2026-08-03 04:16 UTC,SELL,4125.2998,0.069,1047.26
2026-08-03 04:17 UTC,BUY,4123.5000,,1047.26
2026-08-03 04:48 UTC,SELL,4126.7002,0.069,1047.30
2026-08-03 04:49 UTC,BUY,4126.2998,,1047.30
2026-08-03 04:52 UTC,BUY,4123.2876,,1047.30
2026-08-03 04:58 UTC,BUY,4120.2776,,1047.30
2026-08-03 05:05 UTC,BUY,4117.2698,,1047.30
2026-08-03 05:10 UTC,BUY,4114.2642,,1047.30
2026-08-03 05:16 UTC,BUY,4111.2608,,1047.30
2026-08-03 05:42 UTC,SELL,4119.1001,0.069,1048.16
2026-08-03 05:43 UTC,BUY,4119.2998,,1048.16
2026-08-03 05:45 UTC,BUY,4116.2927,,1048.16
2026-08-03 05:55 UTC,SELL,4121.0000,0.069,1048.26
2026-08-03 05:56 UTC,BUY,4121.0000,,1048.26
2026-08-03 05:58 UTC,SELL,4124.6001,0.069,1048.30
2026-08-03 05:59 UTC,BUY,4124.2002,,1048.30
2026-08-03 06:15 UTC,BUY,4121.1895,,1048.30
2026-08-03 06:23 UTC,SELL,4126.7998,0.069,1048.41
2026-08-03 06:24 UTC,BUY,4126.0000,,1048.41
2026-08-03 06:26 UTC,BUY,4122.9880,,1048.41
2026-08-03 06:34 UTC,BUY,4119.9782,,1048.41
2026-08-03 06:34 UTC,BUY,4116.9707,,1048.41
2026-08-03 07:17 UTC,BUY,4113.9653,,1048.41
2026-08-03 07:17 UTC,BUY,4110.9621,,1048.41
2026-08-03 07:20 UTC,BUY,4107.9611,,1048.41
2026-08-03 07:34 UTC,SELL,4115.7998,0.069,1049.73
2026-08-03 07:35 UTC,BUY,4116.2002,,1049.73
2026-08-03 07:36 UTC,BUY,4113.1954,,1049.73
